subject_id	solver	p1_accuracy	p2_accuracy	gender	age	education	num_math	m_alg	m_geom	q_strategy	qrating_score
122	PD Guesser	0.68	0.59375	Female	20	12	6	TRUE	TRUE	I slide my finger to the left of the row and look when I encounter a number in a column, I look to see what the options are for the column. Then when I rule out the options, I do the same thing to the right, until I ruled out either the 1 or the 9	1
123	PD Guesser	0.56	0.546875	Male	25	16	4	FALSE	FALSE	6+3=9, 8+3=11, 9+2=11	0
136	PD Guesser	0.64	0.578125	Female	30	16	3	TRUE	TRUE	I figured that the leftmost blue square could be 4, which meant that the square I am supposed to solve would be 1.	2
140	PD Guesser	0.56	0.546875	Female	31	12	0	FALSE	FALSE	no steps	0
143	PD Guesser	0.6	0.5	Male	25	12	4	TRUE	TRUE	I used the boxes in the blue row to determine which digits are missing. Then i looked for possible missing numbers that would be placed in the box.	0
144	PD Guesser	0.56	0.4375	Male	34	12	4	TRUE	TRUE	I believe the number that comes first between 6 and 3 on the first 3 columns is the appropriate number to be inserted in the green space.	0
145	PD Guesser	0.56	0.515625	Male	24	16	3	TRUE	TRUE	my strategy is very simple , add these numbers by the given number outside of the box if it is 15 i choose lowest number if its 19 or above i choose higher number , mostly i choose randomly	0
147	PD Guesser	0.6	0.53125	Male	36	14	4	TRUE	TRUE	I looked to see if there were any 1's  5's blocking the path first. Then I try to figure out which is more likely to be the number that I have chosen. So far with a few exceptions and the limited info provided, I feel that its still a bit of a guessing game. But I'm not sure about that either.	0
150	PD Guesser	0.56	0.4375	Female	44	12	1	TRUE	FALSE	I am still struggling how to do this. I looked to see if there was another 4 & 8, and seemed that 4 may be the answer. Apparently not. :(	0
151	PD Guesser	0.56	0.484375	Female	23	12	4	TRUE	TRUE	i looked at the numbers around the one i currently placed.	0
152	PD Guesser	0.56	0.53125	Female	27	16	5	TRUE	FALSE	I used process of elimination of where to put the 3.	0
153	PD Guesser	0.56	0.53125	Female	65	16	2	TRUE	TRUE	I tried to figure out which numbers could appear	0
155	PD Guesser	0.56	0.484375	Female	48	16	1	FALSE	FALSE	I would like to fix the value which is related to the column.	0
156	PD Guesser	0.6	0.46875	Male	34	16	1	FALSE	FALSE	I found 7 would be the right choice when compared to other boxes	0
159	PD Guesser	0.64	0.484375	Female	55	16	3	TRUE	TRUE	I checked to see where there could or not be other fours or fives. It seemed to fit the rule to put a 4 in the empty slot.	0
161	PD Guesser	0.52	0.4375	Male	32	18	4	TRUE	TRUE	Well I just chose what i felt was the best possible answer and I thought 4 was the one that fit the most in that square. Sometimes you just have to go with your gut.	0
164	PD Guesser	0.48	0.515625	Male	38	18	4	TRUE	TRUE	i calculated the possibilities of having 9 in the column and i just decided to put it.	0
165	PD Guesser	0.48	0.515625	Female	60	16	3	TRUE	TRUE	I honestly just guessed	0
166	PD Guesser	0.52	0.53125	Female	46	12	2	TRUE	TRUE	I looked where the empty spots would be for 5 and it allows the 5 to go above the 6	0
167	PD Guesser	0.44	0.484375	Male	19	14	2	TRUE	FALSE	I went through and saw where each 1 was and if the rows near the blank one had a 1. Then the same with the twos. After that I checked the row that is blue and picked which one I thought fit best.	0
170	PD Guesser	0.48	0.484375	Female	18	16	3	TRUE	TRUE	The number came before the 4, allowing it to cover the three blue tiles.	0
173	PD Guesser	0.48	0.453125	Male	30	12	1	FALSE	FALSE	3	0
175	PD Guesser	0.44	0.40625	Female	36	14	2	FALSE	FALSE	Very easy.	0
176	PD Guesser	0.48	0.4375	Female	32	14	4	TRUE	TRUE	Since I'm still not very knowledgeable about Sudoku, I just looked at which number was farthest away from the empty box and chose it.	0
178	PD Guesser	0.48	0.5625	Female	52	16	2	TRUE	TRUE	I looked to see what numbers were already there, and decided that, based on the position of the other numbers, the answer would be the number 5.  I will not be sure until I have completed the grid.	0
179	PD Guesser	0.52	0.5	Female	40	12	4	TRUE	TRUE	I checked the rows to see where it could be possible to fit in.	0
180	PD Guesser	0.56	0.515625	Male	36	16	1	FALSE	FALSE	I just calculating the values in the first row and accordingly I have selected this	0
181	PD Guesser	0.48	0.5625	Female	41	14	2	TRUE	TRUE	My strategy is to look at which number was furthest away from the green square and I felt like that increased the odds of it being the correct number. For instance, I chose 7 here because most of the other 7s are further away from the box	0
184	PD Guesser	0.56	0.359375	Female	25	16	3	TRUE	TRUE	I know that it has to either be a 4 or a 6 based on their frequency in the puzzle. I try to visualize which rows are """"blocked off"""" based on the numbers in the rows and columns.	0
185	PD Guesser	0.56	0.515625	Female	24	12	2	TRUE	TRUE	The number 4 cannot be used in the green section because the number 4 is on the next line	0
186	PD Guesser	0.52	0.453125	Male	20	14	3	FALSE	FALSE	I looked at each row and column that already had 1 and 8 and formulated an educated guess that it might be 1.	0
189	PD Guesser	0.48	0.5	Female	41	16	1	FALSE	TRUE	I guessed that 8 was right because it was next in the sequence.	0
192	PD Guesser	0.48	0.53125	Female	31	14	2	FALSE	TRUE	i tried to see how i could not block two numbers being together	0
193	PD Guesser	0.48	0.359375	Male	46	18	4	TRUE	TRUE	I lined up the 6's and the 9's on the horizontal axis to eliminate those rows visually in my mind. Then I tried to imagine what other numbers would be added or eliminated in that row. So the answer has to be a 6 or a 9 because you could put in more than one box 2, 4, 5, and 8. So those numbers are gone. So the answer has to be either 6 or 9.  I then flipped a coin and it came up heads so it became a 6. On a separate note, I tried to play Sudoku when I was younger and had a horrible time at it and even though I feel I am ok with numbers I have the worst block with this game.	0
194	PD Guesser	0.48	0.484375	Male	50	14	2	TRUE	TRUE	tried to visualize the corresponding cells to where I believed the number I chose would fit.	0
196	PD Guesser	0.48	0.546875	Male	30	16	1	FALSE	FALSE	good task	0
200	PD Guesser	0.44	0.546875	Male	24	16	5	TRUE	TRUE	the middle box to the far left cant be a six so it must be a five and having another 5 in the middle box would contradict. Thats my best guess anyway, I don't really know how to play suduko but that sort've pattern tended to give me the right answer	1
204	PD Guesser	0.4	0.46875	Female	60	16	3	TRUE	TRUE	After a while I just went with my gut feelings on this. I tried to reason where the number placement would go in the corresponding box, but I wasn't always sure so I guessed.	0
208	PD Guesser	0.4	0.4375	Male	65	16	3	TRUE	TRUE	3 and 4 are used so I choose between the two numbers.	0
209	PD Guesser	0.52	0.515625	Female	39	18	4	TRUE	TRUE	I looked at the 6 and 2 in the last series of sales, then looked at the next box over and tried to determine if it made more sense for the green box to be a 2 or a 6.	0
210	PD Guesser	0.44	0.546875	Male	38	14	1	FALSE	FALSE	identified numbers in certain boxes relative to the green box.	0
211	PD Guesser	0.44	0.46875	Female	26	16	2	TRUE	FALSE	I'm not familiar with sudoku so my line of thought is that no 6 was in line.	0
212	PD Guesser	0.4	0.484375	Male	20	12	2	TRUE	TRUE	I am sorry, to be honest, I had gone with my gut feeling because I could not comprehend the instructions.	0
213	PD Guesser	0.44	0.421875	Male	30	16	3	TRUE	FALSE	I scan through rows and columns within each triple box area and doing away with numbers or squares and finding possibility where only one number fit into a single square.	0
214	PD Guesser	0.56	0.453125	Male	38	16	3	TRUE	TRUE	Honestly, I don't quite get these types of puzzles. I mapped it in my head and looked at what would be a fifty-fifty shot on what would be right.	0
216	PD Guesser	0.48	0.4375	Female	33	12	1	TRUE	FALSE	It is what seems to make sense to me.	0
217	PD Guesser	0.44	0.4375	Female	24	12	6	TRUE	TRUE	in that row and column ,there was not a similar number to the 1 i chose.	0
223	PD Guesser	0.36	0.453125	Female	59	14	1	TRUE	FALSE	I tried to decide which of the 2 numbers could logically fit in the square and then picked the one that fit the best.	0
224	PD Guesser	0.44	0.53125	Male	46	16	7	TRUE	TRUE	I made a 50/50 guess between the 2 most prevalent given numbers, 7, and 4	0
225	PD Guesser	0.48	0.53125	Male	34	16	6	TRUE	TRUE	I looked where the 4 and 7 were and knocked out those rows ass options and landed on 7 there.	0
226	PD Guesser	0.44	0.40625	Male	43	16	2	TRUE	FALSE	i went through each row and determined where 7 and 9 can't be then tried to determine where they could be	0
227	PD Guesser	0.44	0.546875	Male	35	12	1	TRUE	FALSE	I try to look if that row or grid contains that same number.  I also looing for a 1/x/1 pattern.  it was correct some of the time	0
228	PD Guesser	0.4	0.484375	Female	64	12	1	FALSE	TRUE	I looked at the number (7) that is duplicated in most of the cells and usually picked that one.	0
229	PD Guesser	0.44	0.46875	Female	31	18	3	TRUE	TRUE	The first thing I did was look at the 3x3 square. By looking at that, I realized it could be either 5 0r 9. Then I saw that the row below it had a 9, so I knew the answer must be five.	0
230	PD Guesser	0.4	0.484375	Male	30	12	2	TRUE	TRUE	I tried to look at the positions of all the numbers that were in the blue boxes already, then I looked at the 4 and 9, and I tried to figure out where the numbers could go, in regards to the rules of Sudoku. I am not entirely sure I was right, but I just felt that based on where I thought each number could go by the rules, that the correct answer was 4.	0
233	PD Guesser	0.4	0.53125	Male	24	16	5	TRUE	TRUE	we already have 2 even numbers in the square	0
234	PD Guesser	0.32	0.421875	Female	51	18	7	TRUE	TRUE	Best guesstimate.	0
235	PD Guesser	0.4	0.546875	Male	58	12	0	FALSE	FALSE	There are only 2 possible answers 7 or a 2. I look for the number that is physically farther away from the line to be solved.	0
237	PD Guesser	0.36	0.46875	Male	32	14	1	FALSE	FALSE	yes	0
238	PD Guesser	0.44	0.484375	Male	35	16	2	FALSE	TRUE	have a hint of how numbers interact predict and analysis the basis of your predicted number.	0
242	PD Guesser	0.4	0.46875	Female	34	16	2	TRUE	FALSE	I looked at the surrounding boxes and thought that 7 could not be used anywhere else	2
246	PD Guesser	0.36	0.53125	Male	40	14	1	TRUE	FALSE	I am very new at this and I am just familiarizing myself on these puzzles.  The best answer I can give is what number comes next.  Is it random?	0
248	PD Guesser	0.28	0.421875	Female	37	12	2	TRUE	TRUE	I mostly guessed. I'm still learning how to play this game.	0
250	PD Guesser	0.4	0.515625	Male	48	16	3	TRUE	TRUE	i used the most abundant number	0
252	PD Guesser	0.32	0.484375	Male	54	14	4	TRUE	TRUE	I know the 7 cant go there because it is touching the space so it has to be the 2.	0
255	PD Guesser	0.28	0.515625	Male	31	14	5	TRUE	TRUE	In the 3x3 with the green square, 4 was blocked off on the top row and 2 was blocked on the bottom row. I then solved for the 3x3 on the right of the original one. because 2 was blocked on the bottom row i knew 4 had to go there. So now 4 was blocked on the bottom row of the original square, thus 4 had to go in the middle	0
258	PD Guesser	0.28	0.421875	Male	30	16	1	FALSE	FALSE	8	0
259	PD Guesser	0.2	0.453125	Male	46	16	2	TRUE	TRUE	During the curse of the previous game i discovered the answers are either one of the two numbers in the puzzle but not in the row as the green box	0
262	PD Guesser	0.2	0.453125	Female	55	12	4	TRUE	TRUE	It really is a guess.	0
263	PD Guesser	0.24	0.453125	Female	57	14	1	TRUE	FALSE	i tried to think which one would fit the box better , it was hard to tell	0
264	PD Guesser	0.2	0.515625	Prefer not to say	42	12	1	TRUE	FALSE	I guessed. I do not understand Suduko, at all.	0
268	PD Guesser	0.16	0.5	Female	63	10	1	TRUE	FALSE	take the 2 numbers of to the sides, weather lower or higher depended on what seemed logical	0
269	PD Guesser	0.12	0.5	Female	56	18	3	TRUE	TRUE	I always choose one of the two numbers shown outside of the highlighted row and I tended to choose the higher of the two numbers as they seemed to be correct quite a bit more often than the low number.	0
