Subject ID	sid_hash	Evaluation	correct	Actual	q_strategy	Response	PD	AoE	Basis for Choice	Second Choice	Additional Notes
64	07914f	Correct	Correct	Correct	I looked to remove the block with both 5 and 1 which was the first three blues. Then removed the row with both 5 and 1 (in between the 3 and 9), Then saw the row with 1 which could only match with 5, leaving the green only being able to be the number 1	I looked to remove the block with both 5 and 1 which was the first three blues. Then removed the row with both 5 and 1 (in between the 3 and 9), Then saw the row with 1 which could only match with 5, leaving the green only being able to be the number 1	Both		C. Found cell where one PD could go and the other could not		
65	472f25	Correct	Correct	Correct	I went through and saw where each 1 was and if the rows near the blank one had a 1. Then the same with the twos. After that I checked the row that is blue and picked which one I thought fit best.	I went through and saw where each 1 was and if the rows near the blank one had a 1. Then the same with the twos. After that I checked the row that is blue and picked which one I thought fit best.	Both		H. Unclear, confused or missing basis		
66	ee44f6	Incorrect	Incorrect	Incorrect	The number 4 cannot be used in the green section because the number 4 is on the next line	The number 4 cannot be used in the green section because the number 4 is on the next line	Both	No or yes w/o explanation	H. Unclear, confused or missing basis		
67	3bcd6a	Correct	Correct	Correct	1. In the center block, the 5 on the top rules out the blue cell on the right.  2. The 5 at the bottom rules out the blue cell in the middle.  3. In the left block, the 5 rules out all three blue cells.  4.The 5 can only be located in the green cell.	1. In the center block, the 5 on the top rules out the blue cell on the right.  2. The 5 at the bottom rules out the blue cell in the middle.  3. In the left block, the 5 rules out all three blue cells.  4.The 5 can only be located in the green cell.	Target		A. Chose digit that cannot go elsewhere		
68	74a119	Incorrect	Incorrect	Incorrect	Well I just chose what i felt was the best possible answer and I thought 4 was the one that fit the most in that square. Sometimes you just have to go with your gut.	Well I just chose what i felt was the best possible answer and I thought 4 was the one that fit the most in that square. Sometimes you just have to go with your gut.	Distractor	No or yes w/o explanation	H. Unclear, confused or missing basis	E. Explicit guess	Says "4 was the one that fit the most" (which is unclear, hence H), but also says that "sometimes you have to go with your gut (basis E).
69	4ba646	Incorrect	Incorrect	Incorrect	I try to look if that row or grid contains that same number. I also looing for a 1/x/1 pattern. it was correct some of the time	I try to look if that row or grid contains that same number. I also looing for a 1/x/1 pattern. it was correct some of the time	Vague or uncertain	No or yes w/o explanation	H. Unclear, confused or missing basis		
70	166ab1	Incorrect	Incorrect	Incorrect	I looked to see what numbers were already there, and decided that, based on the position of the other numbers, the answer would be the number 5. I will not be sure until I have completed the grid.	I looked to see what numbers were already there, and decided that, based on the position of the other numbers, the answer would be the number 5. I will not be sure until I have completed the grid.	Distractor	No or yes w/o explanation	H. Unclear, confused or missing basis		
71	2a326c	Correct	Correct	Correct	It really is a guess.	It really is a guess.	Neither		E. Explicit guess		
72	8ad2ca	Incorrect	Incorrect	Incorrect	My strategy is to look at which number was furthest away from the green square and I felt like that increased the odds of it being the correct number. For instance, I chose 7 here because most of the other 7s are further away from the box	My strategy is to look at which number was furthest away from the green square and I felt like that increased the odds of it being the correct number. For instance, I chose 7 here because most of the other 7s are further away from the box	Distractor	No or yes w/o explanation	F. Irrelevant basis for choice		
73	1b052e	Correct	Correct	Correct	yes	yes	Neither		I. Did not answer the question		
74	9ff40d	Correct	Correct	Correct	I looked at the possible positions of the other numbers and choose the number hat made sense	I looked at the possible positions of the other numbers and choose the number hat made sense	Neither		H. Unclear, confused or missing basis		
75	783c6f	Correct	Correct	Correct	i choose randomly .	i choose randomly .	Neither		E. Explicit guess		
76	597840	Incorrect	Incorrect	Incorrect	3	3	Distractor	No or yes w/o explanation	I. Did not answer the question		
77	a65a45	Incorrect	Incorrect	Incorrect	I tried to decide which of the 2 numbers could logically fit in the square and then picked the one that fit the best.	I tried to decide which of the 2 numbers could logically fit in the square and then picked the one that fit the best.	Both	No or yes w/o explanation	H. Unclear, confused or missing basis		
78	05a5ff	Correct	Correct	Correct	i went through each row and determined where 7 and 9 can't be then tried to determine where they could be	i went through each row and determined where 7 and 9 can't be then tried to determine where they could be	Both		D. Potentially valid but general or not fully specified		
79	8fbbe6	Correct	Correct	Correct	1. I looked at the bottom square and noticed it was filled out. It did not give me information about solving for 2 or 7 so I moved to the top square. 2. Top square said I could not use a 2 or 7 (already in the box). 3. Moved to the middle square. 7 was already in a row, so it could be 2. Thus, I chose 7. To be honest, I hate this game. I'm old and and never play games (not that old, plenty of people my age play games. But I never do. Anyway, that is my strategy and it worked. So, I kept it up throughout the game.	1. I looked at the bottom square and noticed it was filled out. It did not give me information about solving for 2 or 7 so I moved to the top square. 2. Top square said I could not use a 2 or 7 (already in the box). 3. Moved to the middle square. 7 was already in a row, so it could be 2. Thus, I chose 7. To be honest, I hate this game. I'm old and and never play games (not that old, plenty of people my age play games. But I never do. Anyway, that is my strategy and it worked. So, I kept it up throughout the game.	Both		B. One PD can go elsewhere, chose the other		
80	6cbe0f	Correct	Correct	Correct	I'm going to refer to each square as a number going from left to right 1,2,3 then the next row from left to right 4,5,6 and lastly the last row from left to right 7,8,9.    So after I look at the blue highlighted row I look at the numbers outside of the highlight boxes 1,3 and 8. So I figure I'm probably looking for a 9 or 2 to put in the green box. so I try to eliminate what I can. box 8 cannot have either number so I scratch that off. I look at box 1 next and see that the first spot in the blue highlight cannot be a 9 or 2 so I scratch that spot off, then I look at box 3 and look over to the blue highlight and see that a 9 and not a 2 can be put there so that only leaves 2 to to be able to be put in the green box.	I'm going to refer to each square as a number going from left to right 1,2,3 then the next row from left to right 4,5,6 and lastly the last row from left to right 7,8,9.    So after I look at the blue highlighted row I look at the numbers outside of the highlight boxes 1,3 and 8. So I figure I'm probably looking for a 9 or 2 to put in the green box. so I try to eliminate what I can. box 8 cannot have either number so I scratch that off. I look at box 1 next and see that the first spot in the blue highlight cannot be a 9 or 2 so I scratch that spot off, then I look at box 3 and look over to the blue highlight and see that a 9 and not a 2 can be put there so that only leaves 2 to to be able to be put in the green box.	Both		C. Found cell where one PD could go and the other could not		
81	870a02	Incorrect	Incorrect	Incorrect	Very easy.	Very easy.	Neither	No or yes w/o explanation	I. Did not answer the question		
82	99d797	Incorrect	Incorrect	Incorrect	I'm not familiar with sudoku so my line of thought is that no 6 was in line.	I'm not familiar with sudoku so my line of thought is that no 6 was in line.	Distractor	No or yes w/o explanation	H. Unclear, confused or missing basis		
83	0e8a79	Correct	Correct	Correct	I narrowed down the amount of spaces that could hold a number 5 by following along the rows.	I narrowed down the amount of spaces that could hold a number 5 by following along the rows.	Target		D. Potentially valid but general or not fully specified		
84	9bb50e	Incorrect	Incorrect	Incorrect	I guessed that 8 was right because it was next in the sequence.	I guessed that 8 was right because it was next in the sequence.	Distractor	No or yes w/o explanation	H. Unclear, confused or missing basis		
85	350739	Correct	Correct	Correct	Identify the two potential numbers, 6/8.  Search for the row/column (row here cuz the blue is vertical) with a single one of those two options with an empty blue cell that is not inside the 3x3 cell with the two options (ie bottom middle in this one).  That is the answer.	Identify the two potential numbers, 6/8.  Search for the row/column (row here cuz the blue is vertical) with a single one of those two options with an empty blue cell that is not inside the 3x3 cell with the two options (ie bottom middle in this one).  That is the answer.	Both		C. Found cell where one PD could go and the other could not		
86	9016ea	Incorrect	Incorrect	Incorrect	i tried to think which one would fit the box better , it was hard to tell	i tried to think which one would fit the box better , it was hard to tell	Neither	No or yes w/o explanation	H. Unclear, confused or missing basis		
87	407610	Correct	Correct	Correct	Basically I used the process of elimination. In the first cell and the second cell I see that 5 is unable to go there cause it would be redundant across the row. Moving on the columns are already filled with 2, 4, 5, and 6 so I don't need to worry about those. Then I know that the box at the bottom middle cannot contain any more 9 and 5's. So the only place that leaves to input 5 is the green box.	Basically I used the process of elimination. In the first cell and the second cell I see that 5 is unable to go there cause it would be redundant across the row. Moving on the columns are already filled with 2, 4, 5, and 6 so I don't need to worry about those. Then I know that the box at the bottom middle cannot contain any more 9 and 5's. So the only place that leaves to input 5 is the green box.	Both		A. Chose digit that cannot go elsewhere		
88	deb9be	Correct	Correct	Correct	1. I saw that the number would be 3 or six.  2. I determined the block of nine with both the 3 and the 6 so I could ignore that block.   3. Then I looked for where the 3 and the 6 where together on a line to eliminate it.   4. FInally I found the line with the 6 and knew that the other 6 had to be in the last remaining block.	1. I saw that the number would be 3 or six.  2. I determined the block of nine with both the 3 and the 6 so I could ignore that block.   3. Then I looked for where the 3 and the 6 where together on a line to eliminate it.   4. FInally I found the line with the 6 and knew that the other 6 had to be in the last remaining block.	Both		A. Chose digit that cannot go elsewhere		
89	ba5cde	Incorrect	Incorrect	Incorrect	Best guesstimate.	Best guesstimate.	Neither	No or yes w/o explanation	E. Explicit guess		
90	92a482	Incorrect	Incorrect	Incorrect	3 and 4 are used so I choose between the two numbers.	3 and 4 are used so I choose between the two numbers.	Both	No or yes w/o explanation	E. Explicit guess		
91	72a302	Correct	Correct	Correct	I look at the numbers that appear more than others all across the board because they're more likely to exclude the required number of cells. The 9 in the upper right square prevents a 9 in the blue cell next to the 3. The 9 in the upper middle square prevents a 9 in the blue cell between 1 &9 and the 9 in the middle left square prevents a 9 in the 3 blue cells it shares a square which means the cell we're trying to figure must be a 9.	I look at the numbers that appear more than others all across the board because they're more likely to exclude the required number of cells. The 9 in the upper right square prevents a 9 in the blue cell next to the 3. The 9 in the upper middle square prevents a 9 in the blue cell between 1 &9 and the 9 in the middle left square prevents a 9 in the 3 blue cells it shares a square which means the cell we're trying to figure must be a 9.	Both		A. Chose digit that cannot go elsewhere		
92	c66aa5	Correct	Correct	Correct	No 3 or 4 in the 3 left blue squares. No 3 or 4 in the forth one. No 3 in the remaining empty square. The only place for 3 is the green one.	No 3 or 4 in the 3 left blue squares. No 3 or 4 in the forth one. No 3 in the remaining empty square. The only place for 3 is the green one.	Both		A. Chose digit that cannot go elsewhere		
93	4e726b	Correct	Correct	Correct	i looked at the numbers around the one i currently placed.	i looked at the numbers around the one i currently placed.	Vague or uncertain		H. Unclear, confused or missing basis		
94	302b9c	Correct	Correct	Correct	I found the two "target" numbers which were 8 and 2 and then used deductive reasoning on each empty, blue square. Once I found that one could fit, the other left over number had to be the correct answer.	I found the two "target" numbers which were 8 and 2 and then used deductive reasoning on each empty, blue square. Once I found that one could fit, the other left over number had to be the correct answer.	Both		B. One PD can go elsewhere, chose the other		
95	502d6e	Correct	Correct	Correct	I looked at the 6 and 2 in the last series of sales, then looked at the next box over and tried to determine if it made more sense for the green box to be a 2 or a 6.	I looked at the 6 and 2 in the last series of sales, then looked at the next box over and tried to determine if it made more sense for the green box to be a 2 or a 6.	Both		H. Unclear, confused or missing basis		
96	890b6f	Correct	Correct	Correct	bottom center column with a 7 and 1 in the same row: answers cannot go in bottom blue squares. "neither."    second row from the top with a 1 and a 7: cannot answer there either.    remaining spots are top blue square, and green square.  a 1 has to go in the top blue square.  a 7 has to go in the green square.	bottom center column with a 7 and 1 in the same row: answers cannot go in bottom blue squares. "neither."    second row from the top with a 1 and a 7: cannot answer there either.    remaining spots are top blue square, and green square.  a 1 has to go in the top blue square.  a 7 has to go in the green square.	Both		A. Chose digit that cannot go elsewhere		
97	791f2f	Correct	Correct	Correct	First, I couldn't put use either number in the lower 3 blue spaces. Second, I couldn't put either number in the blue space below the 6. I could put number 7 in the topmost blue space, because the 2 in that row wouldn't prevent me from doing so. So I should put 2 in the only remaining possible blue space (between the 3 and the 6).	First, I couldn't put use either number in the lower 3 blue spaces. Second, I couldn't put either number in the blue space below the 6. I could put number 7 in the topmost blue space, because the 2 in that row wouldn't prevent me from doing so. So I should put 2 in the only remaining possible blue space (between the 3 and the 6).	Both		A. Chose digit that cannot go elsewhere	B. One PD can go elsewhere, chose the other	Clearly states that the target number can't go anywhere else (basis A), and also mentions that the distractor can be placed in another square (basis B)
98	89b7d6	Correct	Correct	Correct	I first identified the 3x3 square that contained two numbers outside of the blue-shaded row. I noted that these numbers were 2 and 3, and then I looked for their locations in rows that:    1) didn't cross that same 3x3 square  2) didn't contain numbers in their blue-shaded square.  3) Didn't include the green/yellow target square    There were two rows matching this description. Of these two rows, I identified the one that contained only one number. This number was 2. I therefore entered 2 in the target square.	I first identified the 3x3 square that contained two numbers outside of the blue-shaded row. I noted that these numbers were 2 and 3, and then I looked for their locations in rows that:    1) didn't cross that same 3x3 square  2) didn't contain numbers in their blue-shaded square.  3) Didn't include the green/yellow target square    There were two rows matching this description. Of these two rows, I identified the one that contained only one number. This number was 2. I therefore entered 2 in the target square.	Both		C. Found cell where one PD could go and the other could not		
99	9ac645	Correct	Correct	Correct	I figured that the leftmost blue square could be 4, which meant that the square I am supposed to solve would be 1.	I figured that the leftmost blue square could be 4, which meant that the square I am supposed to solve would be 1.	Both		B. One PD can go elsewhere, chose the other		
100	d19198	Correct	Correct	Correct	the answer could be either 7 or 5 based on the numbers on the grid, the grid above has already a 5 and 7 the grid on the right only has a 5 so the answer is 7	the answer could be either 7 or 5 based on the numbers on the grid, the grid above has already a 5 and 7 the grid on the right only has a 5 so the answer is 7	Both		H. Unclear, confused or missing basis		
101	f0491f	Incorrect	Incorrect	Incorrect	I checked the rows to see where it could be possible to fit in.	I checked the rows to see where it could be possible to fit in.	Vague or uncertain	No or yes w/o explanation	H. Unclear, confused or missing basis		
102	40d83c	Correct	Correct	Correct	1. My first step involves finding the 3x3 grid which eliminates both numbers (in this case 7 and 1) from all 3 of it's blue cells. In this case it is the top-most grid.    2. After eliminating these 3 cells, I check to see if any rows have both a 1 and 7 on them, thereby eliminating the number from the corresponding blue cell entirely. In this case I am able to eliminate the cell in the row which is fourth from the top.    3. I locate the remaining possible cells. Narrowing my choices makes it easier to choose. I try to find the blue cell which would allow either a 1 or a 7, in order to single out which remaining number belongs in the green cell. I find that a 1 can be placed in the bottom row, but it is already filled. The cell just above the 6 is the only blue cell which could have a 1 or a 7, only there is a 1 in it's row, so I must put in a 7.    4. After eliminating the 7 I know that the only number which can be placed in the green cell is a 1.	1. My first step involves finding the 3x3 grid which eliminates both numbers (in this case 7 and 1) from all 3 of it's blue cells. In this case it is the top-most grid.    2. After eliminating these 3 cells, I check to see if any rows have both a 1 and 7 on them, thereby eliminating the number from the corresponding blue cell entirely. In this case I am able to eliminate the cell in the row which is fourth from the top.    3. I locate the remaining possible cells. Narrowing my choices makes it easier to choose. I try to find the blue cell which would allow either a 1 or a 7, in order to single out which remaining number belongs in the green cell. I find that a 1 can be placed in the bottom row, but it is already filled. The cell just above the 6 is the only blue cell which could have a 1 or a 7, only there is a 1 in it's row, so I must put in a 7.    4. After eliminating the 7 I know that the only number which can be placed in the green cell is a 1.	Both		B. One PD can go elsewhere, chose the other	C. Found cell where one PD could go and the other could not	Had the subject stopped after concluding point number 3, I would classify it as solely basis C. But the concluding point 4 seems to indicate basis B might be the reasoning followed by the subject.
103	1a7f1c	Correct	Correct	Correct	I am sorry, to be honest, I had gone with my gut feeling because I could not comprehend the instructions.	I am sorry, to be honest, I had gone with my gut feeling because I could not comprehend the instructions.	Neither		E. Explicit guess		
104	4c9e72	Correct	Correct	Correct	I looked at the surrounding boxes and thought that 7 could not be used anywhere else	I looked at the surrounding boxes and thought that 7 could not be used anywhere else	Target		A. Chose digit that cannot go elsewhere		
105	079cb4	Incorrect	Incorrect	Incorrect	In the 3x3 with the green square, 4 was blocked off on the top row and 2 was blocked on the bottom row. I then solved for the 3x3 on the right of the original one. because 2 was blocked on the bottom row i knew 4 had to go there. So now 4 was blocked on the bottom row of the original square, thus 4 had to go in the middle	In the 3x3 with the green square, 4 was blocked off on the top row and 2 was blocked on the bottom row. I then solved for the 3x3 on the right of the original one. because 2 was blocked on the bottom row i knew 4 had to go there. So now 4 was blocked on the bottom row of the original square, thus 4 had to go in the middle	Both	No or yes w/o explanation	H. Unclear, confused or missing basis		
106	a9c088	Incorrect	Incorrect	Incorrect	I scan through rows and columns within each triple box area and doing away with numbers or squares and finding possibility where only one number fit into a single square.	I scan through rows and columns within each triple box area and doing away with numbers or squares and finding possibility where only one number fit into a single square.	Neither	No or yes w/o explanation	H. Unclear, confused or missing basis		
107	0cfd85	Correct	Correct	Correct	Sudoko has a set of rules: numbers do not repeat either in 3x3, columns, or rows:  First section with blue cells the blue 9 and 3 are already present so the blues cell with not contain those number (9 or 3)  Second section contain blue cells and green: 1st blue cell you must look at the column 9 & 3 are in the column so neither a 9 or 3 can be place in that blue cell   look at cell with 8 look cat the column there is 3   so the green cell has two possibility 9 or 3   look at the last section of blues cells: find the blue cell without numbers look at its column it has a 9 so the only possibility in that space a 3   making the green cell a 9   because number do not repeat themself either in 3x3, rows or columns	Sudoko has a set of rules: numbers do not repeat either in 3x3, columns, or rows:  First section with blue cells the blue 9 and 3 are already present so the blues cell with not contain those number (9 or 3)  Second section contain blue cells and green: 1st blue cell you must look at the column 9 & 3 are in the column so neither a 9 or 3 can be place in that blue cell   look at cell with 8 look cat the column there is 3   so the green cell has two possibility 9 or 3   look at the last section of blues cells: find the blue cell without numbers look at its column it has a 9 so the only possibility in that space a 3   making the green cell a 9   because number do not repeat themself either in 3x3, rows or columns	Both		C. Found cell where one PD could go and the other could not		
108	3a34a5	Correct	Correct	Correct	I checked to see where there could or not be other fours or fives. It seemed to fit the rule to put a 4 in the empty slot.	I checked to see where there could or not be other fours or fives. It seemed to fit the rule to put a 4 in the empty slot.	Both		D. Potentially valid but general or not fully specified		
109	2d7565	Incorrect	Incorrect	Incorrect	I guessed. I do not understand Suduko, at all.	I guessed. I do not understand Suduko, at all.	Neither	No or yes w/o explanation	E. Explicit guess		
110	b60258	Correct	Correct	Correct	I would like to fix the value which is related to the column.	I would like to fix the value which is related to the column.	Neither		H. Unclear, confused or missing basis		
111	6fd6a4	Incorrect	Incorrect	Incorrect	After a while I just went with my gut feelings on this. I tried to reason where the number placement would go in the corresponding box, but I wasn't always sure so I guessed.	After a while I just went with my gut feelings on this. I tried to reason where the number placement would go in the corresponding box, but I wasn't always sure so I guessed.	Neither	No or yes w/o explanation	E. Explicit guess		
112	620413	Correct	Correct	Correct	I looked for the box with the blue line in it that already had a 6 and 7. So I ignored that box. Then I looked to the left and found that the blank spot there already had a 6 and 7 in the vertical column. So I ignored that box. I then looked to the middle column, so there was a single 6 so a 7 would go to the right of the 8 and the 6 would go to the left.	I looked for the box with the blue line in it that already had a 6 and 7. So I ignored that box. Then I looked to the left and found that the blank spot there already had a 6 and 7 in the vertical column. So I ignored that box. I then looked to the middle column, so there was a single 6 so a 7 would go to the right of the 8 and the 6 would go to the left.	Both		B. One PD can go elsewhere, chose the other		
113	94d08b	Correct	Correct	Correct	i used the most abundant number	i used the most abundant number	Neither		G. Chose the most frequent digit		
114	60d45b	Correct	Correct	Correct	It can't be in the top square, since there is already 9 and 4 in the row. It can't be in the bottom square, since 9 and 4 are already in the square. In fourth line from the top, there is already a 4, so this value must be 9. Therefore the green box must be 4.	It can't be in the top square, since there is already 9 and 4 in the row. It can't be in the bottom square, since 9 and 4 are already in the square. In fourth line from the top, there is already a 4, so this value must be 9. Therefore the green box must be 4.	Both		B. One PD can go elsewhere, chose the other		
115	6da5df	Correct	Correct	Correct	1) The first thing I do is to look at a box containing a "2" and a "6" which is the one on the middle right. This is the box I completely ignore.    2) I look for a column with a "2" and a "6". This is the blue box I should ignore as well.    3) The last open blue box is usually in the same column as the correct answer which is "2" in this case by looking at the column furthest to the left.    4) I felt it was easier figuring sudoku out when I find a pattern instead of logically thinking things through.	1) The first thing I do is to look at a box containing a "2" and a "6" which is the one on the middle right. This is the box I completely ignore.    2) I look for a column with a "2" and a "6". This is the blue box I should ignore as well.    3) The last open blue box is usually in the same column as the correct answer which is "2" in this case by looking at the column furthest to the left.    4) I felt it was easier figuring sudoku out when I find a pattern instead of logically thinking things through.	Both		C. Found cell where one PD could go and the other could not		
116	58ccde	Correct	Correct	Correct	I eliminated the first 3 boxes in the blue row because 5 & 7 were in the grid of 9 numbers. The 4 eliminates that square for a 5 or 7. The next blue square eliminates 5 & 7 since they are both in the row. The green box is 5 or 7. The next box is already filled with a 9 and the next with an 8. The last blue box can only be 5, So 5 can be in that blue box or the green box, leaving 7 as the number that fits only in the green box.	I eliminated the first 3 boxes in the blue row because 5 & 7 were in the grid of 9 numbers. The 4 eliminates that square for a 5 or 7. The next blue square eliminates 5 & 7 since they are both in the row. The green box is 5 or 7. The next box is already filled with a 9 and the next with an 8. The last blue box can only be 5, So 5 can be in that blue box or the green box, leaving 7 as the number that fits only in the green box.	Both		A. Chose digit that cannot go elsewhere		
117	799567	Correct	Correct	Correct	the box could only contain a 5 or a 4. the box on the farthest right in this row can contain a 4 therefore the box must be a 5	the box could only contain a 5 or a 4. the box on the farthest right in this row can contain a 4 therefore the box must be a 5	Both		B. One PD can go elsewhere, chose the other		
118	54a6d8	Correct	Correct	Correct	used a scratch sheet of paper, looked at row one at a time to not confuse myself with the other rows.	used a scratch sheet of paper, looked at row one at a time to not confuse myself with the other rows.	Neither		D. Potentially valid but general or not fully specified		
119	00d7df	Correct	Correct	Correct	The last 3 squares cant be a 1 or 9 because they already exist in the square of 9. the 4th square cant be a 1 or 9 because they are already in that column. The 3rd square has to be a 9 because there is already a 1 in that column, so the green square needs to be a 1.	The last 3 squares cant be a 1 or 9 because they already exist in the square of 9. the 4th square cant be a 1 or 9 because they are already in that column. The 3rd square has to be a 9 because there is already a 1 in that column, so the green square needs to be a 1.	Both		A. Chose digit that cannot go elsewhere		
120	314c8c	Incorrect	Incorrect	Incorrect	we already have 2 even numbers in the square	we already have 2 even numbers in the square	Neither	No or yes w/o explanation	F. Irrelevant basis for choice		
121	00e988	Correct	Correct	Correct	I paid attention to the numbers blocking the blue line to help decide what cannot go into the green block	I paid attention to the numbers blocking the blue line to help decide what cannot go into the green block	Neither		D. Potentially valid but general or not fully specified		
122	dfbc72	Correct	Correct	Correct	I looked at the provided numbers outside the blue highlighted row. I figured it had to be either a 2 or a 3 in the green box. Then saw it was possible for 2 to go in 2 places on the row, but the green area was the only place possible for 3.	I looked at the provided numbers outside the blue highlighted row. I figured it had to be either a 2 or a 3 in the green box. Then saw it was possible for 2 to go in 2 places on the row, but the green area was the only place possible for 3.	Both		A. Chose digit that cannot go elsewhere	B. One PD can go elsewhere, chose the other	Subject clearly says that the target has nowhere else to go (basis A), as well as that the distractor may go elsewhere (basis B)
123	960dd4	Correct	Correct	Correct	I looked where the 4 and 7 were and knocked out those rows ass options and landed on 7 there.	I looked where the 4 and 7 were and knocked out those rows ass options and landed on 7 there.	Both		D. Potentially valid but general or not fully specified		
124	69e1b6	Correct	Correct	Correct	I tried to narrow down the possible option for the 4 and 5 to be used in.	I tried to narrow down the possible option for the 4 and 5 to be used in.	Both		D. Potentially valid but general or not fully specified		
125	bbad00	Correct	Correct	Correct	I eliminated the first three blue squares because you wouldn't be able to use 7 0r 8 in them because 7 and 8 were already in the box. The fourth blue square I eliminated because there was a 7 and 8 in that row. The last blue square could have the 7 because only 8 was in that row. That left 8 for the green square because 7 could be used in the last blue square.	I eliminated the first three blue squares because you wouldn't be able to use 7 0r 8 in them because 7 and 8 were already in the box. The fourth blue square I eliminated because there was a 7 and 8 in that row. The last blue square could have the 7 because only 8 was in that row. That left 8 for the green square because 7 could be used in the last blue square.	Both		B. One PD can go elsewhere, chose the other		
126	3a3052	Correct	Correct	Correct	Find the row or column where the blue cell must be one of the two numbers that are present and available as options (6 and 9 in this case). In this puzzle, the blue cell in the sixth row from the top must be a 4, therefore the answer must be 6.	Find the row or column where the blue cell must be one of the two numbers that are present and available as options (6 and 9 in this case). In this puzzle, the blue cell in the sixth row from the top must be a 4, therefore the answer must be 6.	Both		B. One PD can go elsewhere, chose the other		
127	714f1c	Correct	Correct	Correct	First, I looked at all of the numbers in the row of the answer needed. Then, I looked if there were any numbers in that column. I then looked at the numbers in the 3x3 square of the answer needed. I tried to work out some of the numbers of the row with the answer and the square to find the number needed.	First, I looked at all of the numbers in the row of the answer needed. Then, I looked if there were any numbers in that column. I then looked at the numbers in the 3x3 square of the answer needed. I tried to work out some of the numbers of the row with the answer and the square to find the number needed.	Neither		H. Unclear, confused or missing basis		
128	3233fa	Correct	Correct	Correct	I first looked for the 9 square box with the two digits and eliminated that. I then looked at each remaining row to deduce what was left. The one row with the 8 meant the 3 went there, so the solution for the green box must be 8.	I first looked for the 9 square box with the two digits and eliminated that. I then looked at each remaining row to deduce what was left. The one row with the 8 meant the 3 went there, so the solution for the green box must be 8.	Both		B. One PD can go elsewhere, chose the other		
129	585907	Correct	Correct	Correct	I checked the columns and the rows to see if the number 6 or 9 was in any of them and the box on the top already had a 6 and a 9 so I cancelled that one out. The box below had the 6 and the 9 in the same row, and the box in the middle had the 9 in the bottom row so that left 6 available in the middle row of the box.	I checked the columns and the rows to see if the number 6 or 9 was in any of them and the box on the top already had a 6 and a 9 so I cancelled that one out. The box below had the 6 and the 9 in the same row, and the box in the middle had the 9 in the bottom row so that left 6 available in the middle row of the box.	Both		A. Chose digit that cannot go elsewhere		
130	99becc	Incorrect	Incorrect	Incorrect	have a hint of how numbers interact predict and analysis the basis of your predicted number.	have a hint of how numbers interact predict and analysis the basis of your predicted number.	Neither	No or yes w/o explanation	H. Unclear, confused or missing basis		
131	2cd60a	Correct	Correct	Correct	I looked for the box the two numbers then i looked for the row with two numbers lined up with the blue box then i looked for the row with one number lined up with the empty blue box	I looked for the box the two numbers then i looked for the row with two numbers lined up with the blue box then i looked for the row with one number lined up with the empty blue box	Both		D. Potentially valid but general or not fully specified		
132	0cde0e	Incorrect	Incorrect	Incorrect	I first saw that both a 3 and 6 appeared in one square section and eliminated those three from being either number. Then found a column from containing both, therefore eliminating either from that column. The only other available square has a 6 in the column so it must be a three. And I am just realizing I chose the wrong answer.	I first saw that both a 3 and 6 appeared in one square section and eliminated those three from being either number. Then found a column from containing both, therefore eliminating either from that column. The only other available square has a 6 in the column so it must be a three. And I am just realizing I chose the wrong answer.	Both	Yes with explanation	C. Found cell where one PD could go and the other could not		
133	50efd3	Correct	Correct	Correct	I need a 1 or a 3. the box to the mid left had a 1 and 3 in it already so i ruled out those 3 blue squares. the box on the right middle only had 1 square but the column already had a 1 and 3. so that means the 1 and the 3 have to be in the center box. since the top mid box had a 3 in the first column, i knew the 1 had to be in that column, and the 3 in the one to the right of it.	I need a 1 or a 3. the box to the mid left had a 1 and 3 in it already so i ruled out those 3 blue squares. the box on the right middle only had 1 square but the column already had a 1 and 3. so that means the 1 and the 3 have to be in the center box. since the top mid box had a 3 in the first column, i knew the 1 had to be in that column, and the 3 in the one to the right of it.	Both		C. Found cell where one PD could go and the other could not		
134	b7484d	Incorrect	Incorrect	Incorrect	I tried to look at the positions of all the numbers that were in the blue boxes already, then I looked at the 4 and 9, and I tried to figure out where the numbers could go, in regards to the rules of Sudoku. I am not entirely sure I was right, but I just felt that based on where I thought each number could go by the rules, that the correct answer was 4.	I tried to look at the positions of all the numbers that were in the blue boxes already, then I looked at the 4 and 9, and I tried to figure out where the numbers could go, in regards to the rules of Sudoku. I am not entirely sure I was right, but I just felt that based on where I thought each number could go by the rules, that the correct answer was 4.	Both	No or yes w/o explanation	H. Unclear, confused or missing basis		
135	bd0c0b	Correct	Correct	Correct	I find that process of elimination works best for these isolated problems at least. I started on the left and saw that there was a two and a seven in the 3x3 box on the middle left. I knew it was going to be one of those based off of the numbers already in the row. I finished up by looking to the right side and saw that 7 couldn't be placed in either square so it had to be that.	I find that process of elimination works best for these isolated problems at least. I started on the left and saw that there was a two and a seven in the 3x3 box on the middle left. I knew it was going to be one of those based off of the numbers already in the row. I finished up by looking to the right side and saw that 7 couldn't be placed in either square so it had to be that.	Both		A. Chose digit that cannot go elsewhere		
